nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,Id
nm0001518,Dylan McDermott,1961,\N,"actor,director,writer","tt1659337,tt0107206,tt2302755,tt0118437",12122
nm0001520,Christopher McDonald,1955,\N,"actor,producer,director","tt0103074,tt0116483,tt0110932,tt1582453",12124
nm0001521,Mary McDonnell,1952,\N,"actress,soundtrack","tt0246578,tt0099348,tt1615147,tt0407362",12125
nm0001522,Roddy McDowall,1928,1998,"actor,producer,soundtrack","tt0068408,tt0093693,tt0089175,tt0063442",12126
nm0001523,Natascha McElhone,1969,\N,"actress,soundtrack","tt0307479,tt0488085,tt0122690,tt0120382",12127
nm0001524,Paul McGann,1959,\N,"actor,soundtrack,director","tt0238546,tt0108333,tt0094336,tt0103644",12128
nm0001525,John C. McGinley,1959,\N,"actor,producer,soundtrack","tt0114369,tt0102685,tt0285403,tt0117500",12129
nm0001526,Patrick McGoohan,1928,2009,"actor,producer,director","tt1466074,tt0112573,tt0079116,tt0061287",12130
nm0001527,Elizabeth McGovern,1961,\N,"actress,writer,producer","tt0099731,tt0081283,tt1606375,tt0087843",12131
nm0001532,John McTiernan,1951,\N,"director,producer,writer","tt0246894,tt0107362,tt0095016,tt0093773",12136
nm0001533,Meat Loaf,1947,\N,"actor,soundtrack,producer","tt0383222,tt0073629,tt0227984,tt0137523",12137
nm0001536,ToshirÃ´ Mifune,1920,1997,"actor,producer,director","tt0056443,tt0050613,tt0055630,tt0047478",12140
nm0001537,Ray Milland,1907,1986,"actor,director,soundtrack","tt0037884,tt0040160,tt0066011,tt0046912",12141
nm0001538,Jonny Lee Miller,1972,\N,"actor,soundtrack,director","tt0117951,tt0219653,tt0297284,tt2191671",12142
nm0001542,Jay Mohr,1970,\N,"actor,writer,producer","tt0139239,tt0421073,tt0122718,tt0116695",12146
nm0001543,Gretchen Mol,1972,\N,"actress,soundtrack","tt0381849,tt0979432,tt4034228,tt0139809",12147
nm0001544,Ricardo Montalban,1920,2009,"actor,soundtrack,director","tt0067065,tt0095705,tt0084726,tt0338459",12148
nm0001547,Agnes Moorehead,1900,1974,"actress,soundtrack,miscellaneous","tt0058213,tt0033467,tt0035015,tt0057733",12151
nm0001548,Rick Moranis,1953,\N,"actor,writer,producer","tt0098067,tt0086373,tt0094012,tt0091419",12152
nm0001550,Cathy Moriarty,1960,\N,"actress,soundtrack","tt0102951,tt0081398,tt0289848,tt1038919",12154
nm0001552,Pat Morita,1932,2005,"actor,soundtrack,writer","tt0097647,tt0087538,tt0091326,tt0120762",12156
nm0001553,Ennio Morricone,1928,\N,"composer,soundtrack,music_department","tt0094226,tt3460252,tt0120731,tt1924396",12157
nm0001556,David Morse,1953,\N,"actor,director,producer","tt0887912,tt0816711,tt0120689,tt0118884",12160
nm0001557,Viggo Mortensen,1958,\N,"actor,soundtrack,producer","tt0765443,tt0898367,tt3553976,tt0167260",12161
nm0001565,Mike Newell,1942,\N,"director,producer,actor","tt0109831,tt0330373,tt0119008,tt0104522",12169
nm0001566,Mike Nichols,1931,2014,"director,producer,miscellaneous","tt0061184,tt0318997,tt0376541,tt0061722",12170
nm0001567,Connie Nielsen,1965,\N,actress,"tt0265459,tt0172495,tt0264395,tt0451279",12171
nm0001570,Edward Norton,1969,\N,"actor,producer,writer","tt0117381,tt0120586,tt2278388,tt2562232",12174
nm0001571,Kim Novak,1933,\N,"actress,costume_department,soundtrack","tt0050815,tt0058265,tt0048491,tt0052357",12175
nm0001573,Catherine O'Hara,1954,\N,"actress,writer,producer","tt0310281,tt0218839,tt0099785,tt1142977",12177
nm0001574,Michael O'Keefe,1955,\N,"actor,director,soundtrack","tt0237572,tt0465538,tt0080487,tt0435679",12178
nm0001576,Heather O'Rourke,1975,1988,actress,"tt0084516,tt0091778,tt0095889,tt0070992",12180
nm0001578,Annette O'Toole,1952,\N,"actress,soundtrack,writer","tt0086393,tt0290086,tt0310281,tt0083511",12182
nm0001579,Edward James Olmos,1947,\N,"actor,producer,director","tt0120094,tt0083658,tt0094027,tt0407362",12183
nm0001583,Jerry Orbach,1935,2004,"actor,soundtrack","tt0088850,tt0101414,tt0092890,tt0098844",12187
nm0001584,Miranda Otto,1967,\N,"actress,soundtrack","tt0120863,tt0167260,tt0407304,tt0167261",12188
nm0001587,Alan J. Pakula,1928,1998,"producer,director,writer","tt0074119,tt0100404,tt0084707,tt0056592",12191
nm0001589,Michael Palin,1943,\N,"actor,writer,soundtrack","tt0085959,tt0095159,tt0071853,tt0081633",12193
nm0001590,Chazz Palminteri,1952,\N,"actor,writer,producer","tt0109348,tt0106489,tt0114814,tt3569230",12194
nm0001592,Joe Pantoliano,1951,\N,"actor,producer,writer","tt0115736,tt0209144,tt0172156,tt0133093",12196
nm0001593,Anna Paquin,1982,\N,"actress,producer,soundtrack","tt0120903,tt0376994,tt0107822,tt0290334",12197
nm0001597,Mandy Patinkin,1952,\N,"actor,soundtrack,producer","tt2543472,tt0093779,tt0094631,tt1796960",12201
nm0001598,Robert Patrick,1958,\N,"actor,producer","tt0305357,tt1599348,tt0133751,tt0103064",12202
nm0001599,Will Patton,1954,\N,actor,"tt0119925,tt0120591,tt0330793,tt0093640",12203
nm0001601,David Paymer,1954,\N,"actor,director,producer","tt0120784,tt0112346,tt0113161,tt0120202",12205
nm0001602,Guy Pearce,1967,\N,"actor,soundtrack,director","tt1592525,tt2345737,tt0119488,tt0209144",12206
nm0001605,Amanda Peet,1972,\N,actress,"tt0391304,tt0309698,tt0190138,tt1190080",12209
nm0001606,Chris Penn,1965,2006,"actor,producer,director","tt0087277,tt0108122,tt0108399,tt0105236",12210
nm0001608,Barry Pepper,1970,\N,"actor,producer,executive","tt0120689,tt0120815,tt0185183,tt1403865",12212
nm0001610,Elizabeth Perkins,1960,\N,actress,"tt0094737,tt0439100,tt2649356",12214
nm0001612,Matthew Perry,1969,\N,"actor,producer,writer","tt0485842,tt0108778,tt0119141,tt0190138",12216
nm0001614,Lori Petty,1963,\N,"actress,producer,writer","tt0114614,tt0106965,tt0104694,tt0102685",12218
nm0001616,Mekhi Phifer,1974,\N,"actor,producer,soundtrack","tt0363547,tt0108757,tt0322589,tt0298203",12220
nm0001618,Joaquin Phoenix,1974,\N,"actor,producer,soundtrack","tt0358273,tt0172495,tt1560747,tt1798709",12222
nm0001620,Slim Pickens,1919,1983,"actor,soundtrack,writer","tt0071230,tt0078723,tt0057012,tt0068638",12224
nm0001623,Maria Pitillo,1966,\N,actress,"tt0103939,tt0108399,tt0110632,tt0120685",12227
nm0001624,Oliver Platt,1960,\N,"actor,producer","tt0108333,tt0182789,tt0139414,tt1190080",12228
nm0001626,Christopher Plummer,1929,\N,"actor,soundtrack,producer","tt3704050,tt0140352,tt5294550,tt1532503",12230
nm0001628,Sydney Pollack,1934,2008,"director,producer,actor","tt0089755,tt0120663,tt0465538,tt0084805",12232
nm0001629,Kevin Pollak,1957,\N,"actor,producer,writer","tt0146675,tt0327247,tt0104257,tt0114814",12233
nm0001631,Sarah Polley,1979,\N,"actress,writer,producer","tt0120255,tt0139239,tt0314412,tt0363547",12235
nm0001632,Teri Polo,1969,\N,actress,"tt0290002,tt0212338,tt0115571,tt0970866",12236
nm0001634,CCH Pounder,1952,\N,actress,"tt1538403,tt0499549,tt0286486,tt0107978",12238
nm0001636,Priscilla Presley,1945,\N,"actress,producer,writer","tt0098987,tt0095705,tt0110622,tt0102510",12240
nm0001638,JÃ¼rgen Prochnow,1941,\N,"actor,producer,soundtrack","tt0116209,tt0096073,tt0082096,tt0087182",12242
nm0001639,Alex Proyas,1963,\N,"director,writer,producer","tt0109506,tt0118929,tt0448011,tt2404233",12243
nm0001640,Richard Pryor,1940,2005,"actor,writer,producer","tt0086393,tt0082121,tt0098282,tt0075223",12244
nm0001642,Randy Quaid,1950,\N,"actor,producer,soundtrack","tt0116629,tt0116778,tt0388795,tt0097958",12246
nm0001644,Aidan Quinn,1959,\N,"actor,producer,director","tt0120791,tt0110322,tt0106387,tt0817177",12248
nm0001647,Claude Rains,1889,1967,"actor,soundtrack","tt0024184,tt0034583,tt0038787,tt0031679",12251
nm0001648,Charlotte Rampling,1946,\N,"actress,soundtrack,camera_department","tt0324133,tt3544082,tt1334260,tt2094766",12252
nm0001650,Michael Rapaport,1970,\N,"actor,director,producer","tt0149261,tt0115639,tt0216216,tt0108399",12254
nm0001652,John Ratzenberger,1947,\N,"actor,director,soundtrack","tt0910970,tt0114709,tt0317705,tt0083399",12256
nm0001653,Stephen Rea,1946,\N,"actor,writer","tt0104036,tt0434409,tt0110148,tt0112681",12257
nm0001656,Donna Reed,1921,1986,"actress,soundtrack","tt0037988,tt0038650,tt0045793,tt0051267",12260
nm0001657,Oliver Reed,1938,1999,"actor,soundtrack","tt0172495,tt0063385,tt0080658,tt0096764",12261
nm0001659,Christopher Reeve,1952,2004,"actor,producer,miscellaneous","tt0081573,tt0086393,tt0078346,tt0094074",12263
nm0001661,Rob Reiner,1947,\N,"actor,writer,producer","tt0066626,tt0104257,tt0088258,tt0993846",12265
nm0001662,Judge Reinhold,1957,\N,"actor,soundtrack,producer","tt0083929,tt0092644,tt0086960,tt0109254",12266
nm0001663,Paul Reiser,1957,\N,"actor,writer,producer","tt2582802,tt0103484,tt0090605,tt0086960",12267
nm0001664,James Remar,1953,\N,"actor,soundtrack",tt0420896,12268
nm0001666,Debbie Reynolds,1932,2016,"actress,soundtrack,writer","tt0119360,tt0117091,tt0045152,tt0058708",12270
nm0001667,Jonathan Rhys Meyers,1977,\N,"actor,producer,soundtrack","tt3300980,tt0416320,tt0758790,tt2306299",12271
nm0001669,Miranda Richardson,1958,\N,"actress,soundtrack","tt0104036,tt0162661,tt0274558,tt0278731",12273
nm0001670,Natasha Richardson,1963,2009,"actress,producer,soundtrack","tt0348505,tt1024255,tt0252076,tt0120783",12274
nm0001673,Jason Robards,1922,2000,"actor,soundtrack","tt0175880,tt0074119,tt0107818,tt0064116",12277
nm0001674,Chris Rock,1965,\N,"producer,actor,writer","tt2784678,tt0122151,tt0398165,tt0325537",12278
nm0001675,Robert Rodriguez,1968,\N,"producer,writer,director","tt0104815,tt1077258,tt0287717,tt0285823",12279
nm0001681,George A. Romero,1940,2017,"producer,writer,director","tt0095652,tt0063350,tt0848557,tt0418819",12285
nm0001684,Katharine Ross,1940,\N,"actress,writer,soundtrack","tt0064115,tt0061722,tt0246578,tt0073747",12288
nm0001687,Gena Rowlands,1930,\N,"actress,writer,soundtrack","tt0072417,tt0332280,tt0397101,tt0119313",12291
nm0001688,Alan Ruck,1956,\N,"actor,soundtrack","tt0111257,tt0091042,tt0117998,tt0111280",12292
nm0001691,Geoffrey Rush,1951,\N,"actor,soundtrack,producer","tt0138097,tt0325980,tt0180073,tt1504320",12295
nm0001693,Eva Marie Saint,1924,\N,"actress,producer","tt0047296,tt0053125,tt1837709,tt0348150",12297
nm0001695,George Sanders,1906,1972,"actor,soundtrack,writer","tt0032976,tt0061852,tt0042192,tt0037988",12299
nm0001696,Julian Sands,1958,\N,"actor,assistant_director,soundtrack","tt0098622,tt0288045,tt0091867,tt0102511",12300
nm0001697,Chris Sarandon,1942,\N,"actor,soundtrack,producer","tt0093779,tt0072890,tt0089175,tt0094862",12301
nm0001698,John Savage,1949,\N,"actor,producer,soundtrack","tt0077416,tt0079261,tt0091886,tt0120863",12302
nm0001701,Devon Sawa,1978,\N,"actor,director,writer","tt0112642,tt0195714,tt0114011,tt0138510",12305
nm0001702,Roy Scheider,1932,2008,"actor,soundtrack,producer","tt0086837,tt0073195,tt0078754,tt0067116",12306
nm0001705,Rob Schneider,1963,\N,"actor,writer,producer","tt0255798,tt0302640,tt0205000,tt0367652",12309
nm0001707,Paul Schrader,1946,\N,"writer,director,soundtrack","tt0075314,tt0118564,tt6053438,tt0081398",12311
nm0001708,Joel Schumacher,1939,\N,"director,writer,producer","tt0183649,tt0118688,tt0134273,tt0293508",12312
nm0001709,Til Schweiger,1963,\N,"actor,producer,director","tt1700258,tt0960790,tt0361748,tt0119472",12313
nm0001710,David Schwimmer,1966,\N,"actor,director,soundtrack","tt0488085,tt0108778,tt0185906,tt0120828",12314
nm0001713,Izabella Scorupco,1970,\N,actress,"tt0113189,tt0253556,tt0190865,tt0204313",12317
nm0001714,Campbell Scott,1961,\N,"actor,producer,director","tt0115678,tt0299117,tt1872181,tt0105415",12318
nm0001715,George C. Scott,1927,1999,"actor,director,producer","tt0066206,tt0054997,tt0080516,tt0057012",12319
nm0001716,Tony Scott,1944,2012,"producer,director,actor","tt0421054,tt0108399,tt0477080,tt0116277",12320
nm0001722,Rufus Sewell,1967,\N,"actor,soundtrack","tt0443543,tt0118929,tt0375154,tt0183790",12326
nm0001723,Tom Shadyac,1958,\N,"producer,director,actor","tt0259288,tt0117218,tt0109040,tt1741225",12327
nm0001724,Tony Shalhoub,1953,\N,"actor,producer,soundtrack","tt0312172,tt1291150,tt0177789,tt0243133",12328
nm0001727,Robert Shaw,1927,1978,"actor,writer,soundtrack","tt0070735,tt0073195,tt0057076,tt0060665",12331
nm0001731,Sam Shepard,1943,2017,"actor,writer,soundtrack","tt1322269,tt1935179,tt0265086,tt0086197",12335
nm0001732,Cybill Shepherd,1950,\N,"actress,producer,soundtrack","tt0067328,tt0111932,tt0075314,tt0088571",12336
nm0001735,Talia Shire,1946,\N,"actress,producer,director","tt0068646,tt0089927,tt0071562,tt0075148",12339
nm0001739,Jean Simmons,1929,2010,"actress,soundtrack","tt0085101,tt0048140,tt0347149,tt0054331",12343
nm0001740,O.J. Simpson,1947,\N,"actor,producer","tt0072308,tt0095705,tt0110622,tt0102510",12344
nm0001741,Bryan Singer,1965,\N,"producer,director,writer","tt0348150,tt1877832,tt0114814,tt0120903",12345
nm0001744,Tom Sizemore,1961,\N,"actor,producer,writer","tt0113277,tt0120815,tt0199753,tt0265086",12348
nm0001745,Stellan SkarsgÃ¥rd,1951,\N,"actor,producer,writer","tt0795421,tt1937390,tt0119217,tt0118607",12349
nm0001747,Charles Martin Smith,1953,\N,"actor,director,writer","tt0069704,tt0086005,tt0094226,tt1564349",12351
nm0001748,Kurtwood Smith,1943,\N,"actor,soundtrack","tt0165598,tt0102975,tt0115759,tt0093870",12352
nm0001749,Maggie Smith,1934,\N,"actress,soundtrack","tt0280707,tt0091867,tt0064840,tt1412386",12353
nm0001752,Steven Soderbergh,1963,\N,"producer,director,cinematographer","tt0195685,tt1291580,tt0098724,tt0181865",12356
nm0001756,Barry Sonnenfeld,1953,\N,"producer,director,actor","tt1409024,tt0120891,tt0119654,tt0113161",12360
nm0001758,Timothy Spall,1957,\N,"actor,soundtrack,writer","tt2473794,tt1226271,tt0408236,tt0117589",12362
nm0001763,Nick Stahl,1979,\N,"actor,producer,cinematographer","tt0107501,tt0181852,tt0247425,tt0401792",12367
nm0001766,Barbara Stanwyck,1907,1990,"actress,soundtrack","tt0033804,tt0023775,tt0036775,tt0058791",12370
nm0001768,Rod Steiger,1925,2002,"actor,soundtrack","tt0067140,tt0047296,tt0059575,tt0061811",12372
nm0001772,Patrick Stewart,1940,\N,"actor,producer,director","tt0117731,tt0120844,tt3315342,tt0120903",12376
nm0001773,David Ogden Stiers,1942,2018,"actor,soundtrack,director","tt0275847,tt0068098,tt0114148,tt0101414",12377
nm0001774,Ben Stiller,1965,\N,"producer,actor,director","tt0129387,tt0942385,tt0359950,tt0196229",12378
nm0001778,Matt Stone,1971,\N,"music_department,writer,producer","tt0121955,tt0131857,tt0372588,tt0158983",12382
nm0001779,Tom Stoppard,1937,\N,"writer,actor,producer","tt0088846,tt1781769,tt0138097,tt0100519",12383
nm0001780,Peter Stormare,1953,\N,"actor,producer,soundtrack","tt0116282,tt0120591,tt0355295,tt0360486",12384
nm0001787,Jeffrey Tambor,1944,\N,"actor,soundtrack","tt0170016,tt0367279,tt3502262,tt0167190",12391
nm0001788,Jessica Tandy,1909,1994,"actress,soundtrack","tt0101921,tt0092494,tt0097239,tt0088933",12392
nm0001792,Rod Taylor,1930,2015,"actor,music_department,soundtrack","tt0054387,tt0055254,tt0056869,tt0361748",12396
nm0001794,Henry Thomas,1971,\N,"actor,producer,composer","tt0083866,tt0087065,tt0331811,tt0110322",12398
nm0001797,Rachel Ticotin,1958,\N,"actress,miscellaneous","tt0106856,tt0118880,tt0406759,tt0100802",12401
nm0001799,John Toll,1952,\N,"cinematographer,camera_department,producer","tt0325710,tt0112573,tt1371111,tt0120863",12403
nm0001800,Rip Torn,1931,\N,"actor,director,producer","tt0364725,tt0119654,tt0240515,tt0103466",12404
nm0001801,Robert Towne,1934,\N,"writer,producer,actor","tt0070290,tt0117060,tt0096244,tt0071315",12405
nm0001803,Danny Trejo,1944,\N,"actor,producer,soundtrack","tt0116367,tt0113277,tt0985694,tt2002718",12407
nm0001804,Stanley Tucci,1960,\N,"actor,producer,director","tt0458339,tt1895587,tt1951264,tt0115678",12408
nm0001806,John Turturro,1957,\N,"actor,writer,director","tt0110932,tt0101410,tt0190590,tt2258345",12410
nm0001808,Tracey Ullman,1959,\N,"actress,writer,producer","tt2180411,tt0196216,tt0109348,tt0092469",12412
nm0001811,Peter Ustinov,1921,2004,"actor,writer,director","tt0054331,tt0055796,tt0074812,tt0077413",12415
nm0001812,Lee Van Cleef,1925,1989,"actor,soundtrack","tt0059578,tt0056217,tt0082340,tt0060196",12416
nm0001813,Dick Van Dyke,1925,\N,"actor,producer,soundtrack","tt0058331,tt0054533,tt0477347,tt0062803",12417
nm0001814,Gus Van Sant,1952,\N,"director,producer,actor","tt0102494,tt0842929,tt0097240,tt0363589",12418
nm0001815,Jim Varney,1949,2000,"actor,writer,soundtrack","tt0092974,tt0230011,tt0120363,tt0114709",12419
nm0001817,Reginald VelJohnson,1952,\N,"actor,writer,soundtrack","tt0087332,tt0095016,tt0096579,tt0099423",12421
nm0001822,Robert Wagner,1930,\N,"actor,producer,soundtrack","tt0072308,tt0295178,tt0145660,tt0118655",12426
nm0001825,Andrew Kevin Walker,1964,\N,"writer,actor,miscellaneous","tt0162661,tt0134273,tt0114369,tt0258000",12429
nm0001827,Ray Walston,1914,2001,"actor,soundtrack","tt0070735,tt0064782,tt0083929,tt0081353",12431
nm0001828,Melora Walters,1960,\N,"actress,director,writer","tt0289879,tt0118749,tt0097165,tt0175880",12432
nm0001831,David Warner,1941,\N,"actor,soundtrack","tt0102975,tt0120338,tt0084827,tt0113409",12435
nm0001833,Emily Watson,1967,\N,"actress,soundtrack","tt0289765,tt0115751,tt0272338,tt0280707",12437
nm0001835,Carl Weathers,1948,\N,"actor,director,miscellaneous","tt0075148,tt0093773,tt0089927,tt0116483",12439
nm0001837,Peter Weir,1944,\N,"director,writer,producer","tt0097165,tt0120382,tt0311113,tt0090329",12441
nm0001838,Rachel Weisz,1970,\N,"actress,producer,soundtrack","tt3464902,tt0209163,tt0120616,tt0387131",12442
nm0001840,Ming-Na Wen,1963,\N,"actress,soundtrack","tt0111301,tt0120762,tt2364582,tt0173840",12444
nm0001845,Forest Whitaker,1961,\N,"actor,producer,director","tt1327773,tt3748528,tt0185183,tt0455590",12449
nm0001848,Dianne Wiest,1948,\N,"actress,soundtrack","tt0115685,tt0109348,tt0099487,tt0091167",12452
nm0001850,Billy Dee Williams,1937,\N,"actor,soundtrack,writer","tt0086190,tt4116284,tt0080684,tt0096895",12454
nm0001851,JoBeth Williams,1948,\N,"actress,producer,soundtrack","tt0079417,tt0419843,tt0085244,tt0084516",12455
nm0001852,Treat Williams,1951,\N,"actor,soundtrack,director","tt0079261,tt0118956,tt0078723,tt0117331",12456
nm0001854,Rita Wilson,1956,\N,"actress,producer,soundtrack","tt0163187,tt0116705,tt0259446,tt0108160",12458
nm0001855,Thomas F. Wilson,1959,\N,"actor,writer,producer","tt0088763,tt0099088,tt2404463,tt0096874",12459
nm0001856,Oprah Winfrey,1954,\N,"producer,actress,soundtrack","tt1327773,tt0088939,tt0090493,tt1620680",12460
nm0001857,Henry Winkler,1945,\N,"actor,producer,writer","tt0389860,tt0070992,tt0120484,tt0367279",12461
nm0001865,Amy Yasbeck,1962,\N,actress,"tt0110475,tt0112896,tt0107977,tt0100405",13398
nm0001868,Michael York,1942,\N,"actor,soundtrack,producer","tt0068327,tt0063518,tt0145660,tt0074812",13401
nm0001872,Steve Zahn,1967,\N,"actor,soundtrack","tt0971209,tt3450958,tt0117887,tt0318649",13405
nm0001873,Steven Zaillian,1953,\N,"writer,producer,director","tt0108065,tt0120633,tt1568346,tt0108052",13406
nm0001876,Catherine Zeta-Jones,1969,\N,"actress,soundtrack","tt0137494,tt0120746,tt0299658,tt0181865",13409
nm0001877,Hans Zimmer,1957,\N,"music_department,composer,soundtrack","tt0172495,tt5013056,tt0816692,tt1375666",13410
nm0001878,David Zucker,1947,\N,"writer,producer,director","tt0102510,tt0080339,tt0362120,tt0088286",13411
nm0001880,Edward Zwick,1952,\N,"producer,writer,director","tt0325710,tt0115956,tt0092492,tt0138097",13413
nm0001884,Max von Sydow,1929,\N,"actor,soundtrack,director","tt0050976,tt0477302,tt0181689,tt0080745",13417
nm0001885,Lars von Trier,1956,\N,"writer,director,producer","tt1527186,tt0276919,tt0168629,tt0115751",13418
nm0001897,John M. Davis,\N,\N,"music_department,sound_department,composer","tt0337692,tt0395251,tt1374989,tt0118799",13430
nm0001899,Remi Adefarasin,1948,\N,"cinematographer,camera_department","tt0127536,tt0185906,tt0276751,tt2674426",13432
nm0001915,Emile Ardolino,1943,1993,"director,producer,miscellaneous","tt0149439,tt0085655,tt0092890,tt0107065",13448
nm0001920,Isaac Asimov,1920,1992,"writer,miscellaneous,actor","tt0079945,tt0094529,tt0343818,tt0182789",13453
nm0001921,Paul Attanasio,1959,\N,"writer,producer,executive","tt0109635,tt0119008,tt0120184,tt0110932",13454
nm0001924,Hoyt Axton,1938,1999,"soundtrack,actor,composer","tt0104187,tt0087363,tt0942385,tt0109830",13457
nm0001937,Marco Beltrami,1966,\N,"composer,music_department,soundtrack","tt0337978,tt0816711,tt0343818,tt0448011",13470
nm0001940,Peter Benchley,1940,2006,"writer,producer,actor","tt0093300,tt0085750,tt0073195,tt0077766",13473
nm0001943,Marisa Berenson,1947,\N,"actress,soundtrack","tt5943392,tt1130984,tt0072684,tt0068327",13476
nm0001949,Andrew Birkin,1945,\N,"writer,director,actor","tt0106535,tt0094816,tt0396171,tt0091605",13482
nm0001950,Steve Bisley,1951,\N,actor,"tt0079501,tt0115417,tt1343092,tt0099138",13483
nm0001952,RubÃ©n Blades,1948,\N,"actor,soundtrack,composer","tt0285823,tt2193215,tt1599348,tt0100403",13485
nm0001953,Moritz Bleibtreu,1971,\N,"actor,producer,art_department","tt0250258,tt0130827,tt0177858,tt0430051",13486
nm0001961,Ray Bolger,1904,1987,"actor,soundtrack","tt0032138,tt0044370,tt0054649,tt0045325",13494
nm0001967,Peter Boyle,1935,2006,"actor,soundtrack","tt0095963,tt0115167,tt0075314,tt0072431",13500
nm0001971,Ewen Bremner,1972,\N,"actor,producer,soundtrack","tt2763304,tt0117951,tt0451279,tt0370263",13504
nm0001974,Blair Brown,1946,\N,"actress,soundtrack,director","tt0138304,tt0186566,tt0080360,tt0092336",13507
nm0001980,Carter Burwell,1954,\N,"composer,music_department,soundtrack","tt5027774,tt0116282,tt2402927,tt1403865",13513
nm0001982,Sebastian Cabot,1918,1977,"actor,soundtrack","tt0057546,tt0061852,tt0059982,tt0054387",13515
nm0001986,Truman Capote,1924,1984,"writer,actor,soundtrack","tt0054698,tt0233023,tt0055018,tt0074937",13519
nm0001990,Elpidia Carrillo,1961,\N,"actress,director,writer","tt0100403,tt0091886,tt0093773,tt0420015",13523
nm0001991,Leo G. Carroll,1886,1972,actor,"tt0053125,tt0038109,tt0044079,tt0057765",13524
nm0001993,Vincent Cassel,1966,\N,"actor,producer,soundtrack","tt0411272,tt1259014,tt0947798,tt0113247",13526
nm0002005,Agatha Christie,1890,1976,"writer,camera_department","tt0094525,tt1349600,tt3402236,tt0051201",13538
nm0002006,Thomas Haden Church,1960,\N,"actor,miscellaneous,producer","tt0375063,tt0413300,tt1282140,tt0108358",13539
nm0002007,Tom Clancy,1947,2013,"writer,producer,miscellaneous","tt1205537,tt0099810,tt0109444,tt0164184",13540
nm0002008,Eric Clapton,1945,\N,"soundtrack,composer,music_department","tt0093409,tt0097733,tt0104714,tt0088763",13541
nm0002009,Arthur C. Clarke,1917,2008,"writer,actor,art_department","tt0134933,tt0086837,tt0062622,tt6076524",13542
nm0002011,Lee J. Cobb,1911,1976,"actor,director,soundtrack","tt0070047,tt0050083,tt0047296,tt0059557",13544
nm0002025,Hume Cronyn,1911,2003,"actor,producer,writer","tt0056937,tt0088933,tt0036342,tt0092494",13558
nm0002030,George Cukor,1899,1983,"director,miscellaneous,assistant_director","tt0050631,tt0058385,tt0032904,tt0047522",13563
nm0002031,Michael Curtiz,1886,1962,"director,writer,actor","tt0034583,tt0047673,tt0054757,tt0029843",13564
nm0002041,Dean Devlin,1962,\N,"producer,actor,director","tt0116629,tt1628841,tt0120685,tt0111282",13574
nm0002044,Roger Donaldson,1945,\N,"director,producer,writer","tt0094889,tt0412080,tt0114508,tt0093640",13577
nm0002045,Stanley Donen,1924,\N,"director,miscellaneous,producer","tt0056923,tt0050814,tt0062407,tt0045152",13578
nm0002060,Lisa Eilbacher,1956,\N,actress,"tt0086960,tt0084434,tt0085121,tt0097737",13593
nm0002064,Giancarlo Esposito,1958,\N,"music_department,actor,producer","tt3040964,tt0903747,tt0114814,tt0097216",13597
nm0002070,Richard Farnsworth,1920,2000,"actor,stunts,soundtrack","tt0088727,tt0100157,tt0087781,tt0166896",13603
nm0002071,Will Ferrell,1967,\N,"actor,producer,soundtrack","tt0445934,tt1229340,tt0415306,tt0357413",13604
nm0002075,Peter Finch,1916,1977,"actor,soundtrack","tt0074958,tt0067805,tt0054403,tt0049871",13608
nm0002076,Jason Flemyng,1966,\N,"actor,soundtrack,director","tt0421715,tt0120735,tt0311429,tt0120681",13609
nm0002077,Dexter Fletcher,1966,\N,"actor,director,writer","tt0419706,tt1250777,tt0120735,tt1509767",13610
nm0002078,Frederic Forrest,1936,\N,actor,"tt0071360,tt0106856,tt0096639,tt0078788",13611
nm0002080,Bob Fosse,1927,1987,"miscellaneous,soundtrack,actor","tt0256153,tt0068327,tt0071746,tt0078754",13613
nm0002085,Gert FrÃ¶be,1913,1988,"actor,soundtrack,writer","tt0051588,tt0060814,tt0062803,tt0058150",13618
nm0002090,Zach Galligan,1964,\N,"actor,director","tt0090106,tt0087363,tt0096426,tt6038042",13623
nm0002091,Michael Gambon,1940,\N,"actor,soundtrack,music_department","tt0097108,tt1201607,tt0280707,tt0417741",13624
nm0002103,Julian Glover,1935,\N,actor,"tt0097576,tt0082398,tt0080684,tt0332452",13636
nm0002104,Paulette Goddard,1910,1990,"actress,soundtrack,producer","tt0032553,tt0032143,tt0039485,tt0027977",13637
nm0002106,Ruth Gordon,1896,1985,"actress,writer,soundtrack","tt0067185,tt0077523,tt0059314,tt0063522",13639
nm0002110,Rodney A. Grant,1959,\N,actor,"tt0099348,tt0228333,tt0120891,tt0101761",13643
nm0002114,Kim Greist,1958,\N,"actress,art_department","tt0094142,tt0091474,tt0088846,tt0107131",13647
nm0002120,Lasse HallstrÃ¶m,1946,\N,"director,writer,editor","tt0241303,tt0089606,tt0124315,tt0108550",13653
nm0002132,Amy Heckerling,1952,\N,"writer,director,producer","tt0115137,tt0083929,tt3973820,tt0097778",13665
nm0002134,Paul Henreid,1908,1992,"director,actor,producer","tt0034583,tt0040444,tt0038108,tt0035140",13667
nm0002136,Bernard Herrmann,1911,1975,"music_department,soundtrack,composer","tt0043456,tt0053125,tt0075314,tt0033467",13669
